FileName, Type, Correct, Partially, Missing, Spurious, Recall, Precision, F1
Kim-cuong-den-HTC-S740-score.xml_00103,Strict,82,10,34,74,0.6507936507936508,0.4939759036144578,0.5616438356164383
L640-laptop-Core-i3-gia-re-cua-Toshiba-score.xml_00106,Strict,23,11,10,27,0.5227272727272727,0.3770491803278688,0.4380952380952381
Lenovo-Y460-ban-nang-cap-gia-tri-score.xml_00109,Strict,20,10,12,36,0.47619047619047616,0.30303030303030304,0.37037037037037035
LG-Mini-GD880-dep-ve-dac-biet-score.xml_0010C,Strict,29,6,4,42,0.7435897435897436,0.37662337662337664,0.5
Lifebook-T5010---may-tinh-bang-gia-cao-score.xml_0010F,Strict,128,19,37,132,0.6956521739130435,0.45878136200716846,0.5529157667386609
Loa-di-dong-MD-221-score.xml_00112,Strict,50,3,13,24,0.7575757575757576,0.6493506493506493,0.6993006993006993
Loa-iPod-co-dinh-Microlab-MD331-score.xml_00115,Strict,41,2,4,36,0.8723404255319149,0.5189873417721519,0.6507936507936507
Loa-may-tinh-UCube---nho-ma-co-vo-score.xml_00118,Strict,77,3,30,124,0.7,0.37745098039215685,0.4904458598726114
Lumix-DMC-FP3-vua-bam-vua-cham-score.xml_0011B,Strict,71,4,22,63,0.7319587628865979,0.5144927536231884,0.6042553191489362
May-anh-tu-suong-Samsung-ST600-score.xml_0011E,Strict,11,2,7,23,0.55,0.3055555555555556,0.39285714285714285
Nokia-5800-XpressMusic-score.xml_00121,Strict,93,8,19,81,0.775,0.510989010989011,0.6158940397350994
Nokia-C3---dien-thoai-phong-cach-tre-score.xml_00124,Strict,37,5,1,46,0.8604651162790697,0.42045454545454547,0.5648854961832062
Nokia-N900-dang-tho-nhung-nhanh-nhen-score.xml_00127,Strict,31,8,11,37,0.62,0.40789473684210525,0.49206349206349215
Nokia-N97-Mini-nhieu-cai-tien-score.xml_0012A,Strict,55,11,12,41,0.7051282051282052,0.514018691588785,0.5945945945945945
Omnia-Pro-B7610---su-lua-chon-hop-ly-score.xml_0012D,Strict,22,7,3,30,0.6875,0.3728813559322034,0.4835164835164835
S2000---dinh-cao-cua-loa-vi-tinh-2-score.xml_00130,Strict,70,10,16,51,0.7291666666666666,0.5343511450381679,0.6167400881057268
Samsung-EX1---may-anh-nho-cho-dan-chuyen-nghiep-score.xml_00133,Strict,164,21,60,138,0.6693877551020408,0.5077399380804953,0.5774647887323943
Samsung-PS50P91FH---TV-Plasma-Full-HD-gia-hoi-score.xml_00136,Strict,30,5,9,28,0.6818181818181818,0.47619047619047616,0.5607476635514018
Sennheiser-PXC-310-BT-hay-nhung-dat-score.xml_00139,Strict,25,10,3,12,0.6578947368421053,0.5319148936170213,0.5882352941176471
Sieu-di-dong-Google-Nexus-One-score.xml_0013C,Strict,38,10,10,29,0.6551724137931034,0.4935064935064935,0.562962962962963
Sony-Bravia-NX800-vua-khoe-vua-dep-score.xml_0013F,Strict,27,3,10,17,0.675,0.574468085106383,0.6206896551724138
Sony-NEX-C3-ban-cai-tien-danh-cho-nu-score.xml_00142,Strict,52,6,10,43,0.7647058823529411,0.5148514851485149,0.6153846153846153
