FileName, Type, Correct, Partially, Missing, Spurious, Recall, Precision, F1
May-anh-tu-suong-Samsung-ST600-score.xml_0011E,Strict,17,11,11,6,0.4358974358974359,0.5,0.4657534246575343
Nokia-5800-XpressMusic-score.xml_00121,Strict,137,18,37,10,0.7135416666666666,0.8303030303030303,0.7675070028011204
Nokia-C3---dien-thoai-phong-cach-tre-score.xml_00124,Strict,64,12,14,2,0.7111111111111111,0.8205128205128205,0.7619047619047619
Nokia-N900-dang-tho-nhung-nhanh-nhen-score.xml_00127,Strict,57,18,20,1,0.6,0.75,0.6666666666666665
Nokia-N97-Mini-nhieu-cai-tien-score.xml_0012A,Strict,79,23,19,5,0.6528925619834711,0.7383177570093458,0.6929824561403509
Omnia-Pro-B7610---su-lua-chon-hop-ly-score.xml_0012D,Strict,35,16,14,1,0.5384615384615384,0.6730769230769231,0.5982905982905983
S2000---dinh-cao-cua-loa-vi-tinh-2-score.xml_00130,Strict,81,17,40,15,0.5869565217391305,0.7168141592920354,0.6454183266932272
Samsung-EX1---may-anh-nho-cho-dan-chuyen-nghiep-score.xml_00133,Strict,216,32,99,42,0.622478386167147,0.7448275862068966,0.6781789638932497
Samsung-PS50P91FH---TV-Plasma-Full-HD-gia-hoi-score.xml_00136,Strict,41,14,18,5,0.5616438356164384,0.6833333333333333,0.6165413533834587
Sennheiser-PXC-310-BT-hay-nhung-dat-score.xml_00139,Strict,27,14,3,6,0.6136363636363636,0.574468085106383,0.5934065934065934
Sieu-di-dong-Google-Nexus-One-score.xml_0013C,Strict,57,18,19,2,0.6063829787234043,0.7402597402597403,0.6666666666666666
Sony-Bravia-NX800-vua-khoe-vua-dep-score.xml_0013F,Strict,26,8,27,2,0.4262295081967213,0.7222222222222222,0.5360824742268041
Sony-NEX-C3-ban-cai-tien-danh-cho-nu-score.xml_00142,Strict,71,17,27,10,0.6173913043478261,0.7244897959183674,0.6666666666666666
Sony-TX1-dep-nguoi-dep-net-score.xml_00145,Strict,178,19,101,25,0.5973154362416108,0.8018018018018018,0.6846153846153847
Thu-nghiem-Acer-dung-chip-Pentium-P6000-score.xml_00148,Strict,40,13,32,4,0.47058823529411764,0.7017543859649122,0.5633802816901408
