Ed Hardy	ID=167	Left=148614	Right=148669	 id = 178813
Blue Exchange	ID=168	Left=253554	Right=253555	 id = 178814
An Phước	ID=169	Left=137240	Right=137241	 id = 178815
Axls Closet	ID=170	Left=130870	Right=130871	 id = 178816
Arizona	ID=171	Left=170742	Right=170743	 id = 178817
UV100	ID=172	Left=8822	Right=8823	 id = 178818
Mangxuaner	ID=173	Left=176662	Right=176663	 id = 178819
Letzz	ID=174	Left=147664	Right=147665	 id = 178820
James Perse	ID=175	Left=10818	Right=10819	 id = 178821
Shaila	ID=176	Left=40228	Right=40229	 id = 178822
Papaya	ID=177	Left=302462	Right=302463	 id = 178823
Lucky Brand	ID=178	Left=165568	Right=165603	 id = 178824
Bossini	ID=179	Left=78222	Right=78223	 id = 178825
Donagamex	ID=180	Left=28596	Right=28597	 id = 178826
BoboshopHN	ID=181	Left=339618	Right=339619	 id = 178827
One Clothing	ID=182	Left=236746	Right=236747	 id = 178828
Nanette Lepore	ID=183	Left=206560	Right=206561	 id = 178829
IISLI	ID=184	Left=111976	Right=111977	 id = 178830
HM	ID=185	Left=139436	Right=139437	 id = 178831
French Connection	ID=186	Left=116560	Right=116563	 id = 178832
Fleurish	ID=187	Left=103748	Right=103749	 id = 178833
Ella moss	ID=188	Left=126418	Right=126419	 id = 178834
Elie Tahari	ID=189	Left=97650	Right=97651	 id = 178835
Doximex	ID=190	Left=250848	Right=250849	 id = 178836
Hutexco	ID=191	Left=170662	Right=170663	 id = 178837
Thaloga (Dệt may Thăng Long)	ID=192	Left=80922	Right=80923	 id = 178838
Thái Tuấn	ID=193	Left=10614	Right=10615	 id = 178839
Sơn kim	ID=194	Left=198584	Right=198585	 id = 178840
H-mona	ID=195	Left=94186	Right=94187	 id = 178841
Vee Sendy	ID=196	Left=322842	Right=322845	 id = 178842
Vạn Phúc	ID=197	Left=238928	Right=238929	 id = 178843
Khải Silk	ID=198	Left=102912	Right=102913	 id = 178844
Textaco	ID=200	Left=148914	Right=148915	 id = 178845
Hafasco	ID=201	Left=164622	Right=164623	 id = 178846
Vicotex	ID=202	Left=34582	Right=34583	 id = 178847
Len Việt	ID=203	Left=231328	Right=231329	 id = 178848
Dopimex	ID=204	Left=327222	Right=327223	 id = 178849
Hoàng Tấn	ID=205	Left=168254	Right=168255	 id = 178850
Legamex	ID=206	Left=9252	Right=9253	 id = 178851
Việt Hưng	ID=207	Left=249458	Right=249459	 id = 178852
Pegarimex	ID=208	Left=221910	Right=221911	 id = 178853
Hugamex	ID=209	Left=268500	Right=268501	 id = 178854
Texgamex	ID=210	Left=134436	Right=134437	 id = 178855
J&D Vinako	ID=211	Left=374668	Right=374669	 id = 178856
Kico	ID=212	Left=106474	Right=106475	 id = 178857
VTEC	ID=213	Left=79954	Right=79955	 id = 178858
Yoko	ID=214	Left=204980	Right=204981	 id = 178859
F21	ID=215	Left=13376	Right=13377	 id = 178860
Forever 21	ID=216	Left=252712	Right=252713	 id = 178861
XOXO	ID=217	Left=316238	Right=316243	 id = 178862
Beautiful Girl	ID=218	Left=4160	Right=4161	 id = 178863
Zara	ID=219	Left=322386	Right=322387	 id = 178864
Chanel	ID=220	Left=391702	Right=391901	 id = 178865
BCBG	ID=221	Left=314542	Right=314543	 id = 178866
Badgley Mischka	ID=222	Left=179438	Right=179439	 id = 178867
YYL	ID=223	Left=207744	Right=207745	 id = 178868
Juicy	ID=224	Left=305776	Right=305777	 id = 178869
23 KU Collection	ID=225	Left=223680	Right=223681	 id = 178870
Chloe	ID=226	Left=84886	Right=84955	 id = 178871
Ruby Rox	ID=227	Left=147846	Right=147847	 id = 178872
Miki Fashion	ID=228	Left=239868	Right=239869	 id = 178873
Bailey	ID=229	Left=393424	Right=393425	 id = 178874
Hasumi	ID=230	Left=124940	Right=124941	 id = 178875
Laundry	ID=231	Left=4438	Right=4439	 id = 178876
D.V.F	ID=232	Left=300756	Right=300757	 id = 178877
Fiona	ID=233	Left=256398	Right=256399	 id = 178878
Venus	ID=234	Left=379378	Right=379379	 id = 178879
Yoshino	ID=235	Left=28258	Right=28259	 id = 178880
Bisou	ID=236	Left=314958	Right=314959	 id = 178881
Handicraftvhs	ID=237	Left=43944	Right=43945	 id = 178882
Rihan	ID=238	Left=244342	Right=244343	 id = 178883
Attivo	ID=239	Left=255712	Right=255713	 id = 178884
Clumzy	ID=240	Left=268154	Right=268155	 id = 178885
Milly	ID=241	Left=247630	Right=247631	 id = 178886
Cherokee	ID=242	Left=72224	Right=72225	 id = 178887
Elegant	ID=243	Left=176682	Right=176695	 id = 178888
Alfred	ID=244	Left=106490	Right=106491	 id = 178889
Mango	ID=245	Left=124860	Right=124871	 id = 178890
Julie Haus	ID=246	Left=177810	Right=177811	 id = 178891
Bebop	ID=247	Left=126958	Right=126959	 id = 178892
Jessica Mcclintock	ID=248	Left=269236	Right=269237	 id = 178893
Authentic	ID=249	Left=10440	Right=10441	 id = 178894
H&M	ID=250	Left=202832	Right=202833	 id = 178895
Lapis	ID=251	Left=25638	Right=25639	 id = 178896
